건물층수,사업장명,모유수유실면적,목욕실면적,폐업일자,취사부수,좌표X,좌표Y,조리원화장실면적,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,ETC_NOPE,미화원수,지상층수,영유아정원수,영유아실면적,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,간호조무사수,간호사수,영양사수,사무실면적,개방자치단체코드,임산부정원수,임산부실면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,급식시설면적,휴업시작일자,휴업종료일자,소재지전화번호,지하층수,세탁실면적
0,맘편한산후조리원,16,,,,150782.327629467,-1561.8372945589,3,2026-03-30 03:03:03,U,13,영업중,1,1,,18,38,2026-03-29 10:36:26,,2017-01-09,,제주특별자치도 제주시 노형동 2489-1,PHMB120176510096042100001,7,5,,,6510000,18,375,"제주특별자치도 제주시 광평동로 9, 2층 (노형동)",63105,01,영업/정상,,,,064-711-3080,,5
3,로열프린세스산후조리원,65,58,,3,152618.539150477,-2193.37773510809,106,2026-03-30 03:03:03,U,13,영업중,5,3,3,42,111,2026-03-29 10:45:15,,2022-08-12,,제주특별자치도 제주시 연동 1409,PHMB120226510096042100001,11,6,0,38,6510000,42,748,"제주특별자치도 제주시 과원로 70, 2~3층 (연동)",63142,01,영업/정상,51,,,064-748-8855,0,37
